strategy,model,train_metrics,test_metrics
ONLY_RUS,RF,"{'Precision': '97.5 +- 0.2', 'Recall': '97.09 +- 0.18', 'F1': '97.29 +- 0.16', 'ROC_AUC': '99.87 +- 0.04', 'Log_Loss': '0.0706 +- 0.0115'}","{'Precision': ""84.22, {'0': 99.99, '1': 69.7, '2': 95.14, '3': 72.06}"", 'Recall': ""98.22, {'0': 97.69, '1': 99.69, '2': 99.25, '3': 96.22}"", 'F1': ""90.11, {'0': 98.83, '1': 82.04, '2': 97.15, '3': 82.41}"", 'ROC_AUC': '99.6', 'Log_Loss': '0.4912'}"
ONLY_RUS,XGB,"{'Precision': '97.65 +- 0.25', 'Recall': '97.73 +- 0.23', 'F1': '97.69 +- 0.23', 'ROC_AUC': '99.93 +- 0.01', 'Log_Loss': '0.0482 +- 0.0039'}","{'Precision': ""88.16, {'0': 99.99, '1': 67.03, '2': 99.5, '3': 86.12}"", 'Recall': ""98.22, {'0': 97.8, '1': 99.76, '2': 98.81, '3': 96.53}"", 'F1': ""92.31, {'0': 98.88, '1': 80.19, '2': 99.15, '3': 91.03}"", 'ROC_AUC': '99.94', 'Log_Loss': '0.1068'}"
ONLY_RUS,LGB,"{'Precision': '97.75 +- 0.15', 'Recall': '97.9 +- 0.26', 'F1': '97.82 +- 0.19', 'ROC_AUC': '99.94 +- 0.01', 'Log_Loss': '0.0446 +- 0.0037'}","{'Precision': ""87.38, {'0': 100.0, '1': 67.24, '2': 99.4, '3': 82.9}"", 'Recall': ""98.28, {'0': 97.78, '1': 99.69, '2': 98.96, '3': 96.68}"", 'F1': ""91.91, {'0': 98.87, '1': 80.31, '2': 99.18, '3': 89.26}"", 'ROC_AUC': '99.94', 'Log_Loss': '0.1032'}"
ONLY_RUS,CATBOOST,"{'Precision': '97.1 +- 0.15', 'Recall': '97.15 +- 0.23', 'F1': '97.12 +- 0.18', 'ROC_AUC': '99.9 +- 0.01', 'Log_Loss': '0.0584 +- 0.0031'}","{'Precision': ""81.04, {'0': 100.0, '1': 67.88, '2': 92.49, '3': 63.79}"", 'Recall': ""98.23, {'0': 97.25, '1': 99.76, '2': 99.85, '3': 96.07}"", 'F1': ""88.02, {'0': 98.61, '1': 80.79, '2': 96.03, '3': 76.67}"", 'ROC_AUC': '99.91', 'Log_Loss': '0.116'}"
ONLY_RUS,XGB_BORUTA,"{'Precision': '97.34 +- 0.22', 'Recall': '97.5 +- 0.19', 'F1': '97.42 +- 0.18', 'ROC_AUC': '99.92 +- 0.01', 'Log_Loss': '0.0521 +- 0.0038'}","{'Precision': ""86.33, {'0': 100.0, '1': 65.23, '2': 99.55, '3': 80.56}"", 'Recall': ""97.98, {'0': 97.57, '1': 99.73, '2': 98.26, '3': 96.37}"", 'F1': ""91.07, {'0': 98.77, '1': 78.87, '2': 98.9, '3': 87.76}"", 'ROC_AUC': '99.93', 'Log_Loss': '0.122'}"
ROS,RF,"{'Precision': '98.29 +- 0.14', 'Recall': '98.09 +- 0.26', 'F1': '98.18 +- 0.18', 'ROC_AUC': '99.91 +- 0.02', 'Log_Loss': '0.0586 +- 0.0094'}","{'Precision': ""83.36, {'0': 100.0, '1': 67.76, '2': 94.95, '3': 70.75}"", 'Recall': ""98.31, {'0': 97.48, '1': 99.73, '2': 99.2, '3': 96.83}"", 'F1': ""89.55, {'0': 98.72, '1': 80.69, '2': 97.03, '3': 81.76}"", 'ROC_AUC': '99.58', 'Log_Loss': '0.5211'}"
ROS,XGB,"{'Precision': '98.53 +- 0.15', 'Recall': '98.56 +- 0.22', 'F1': '98.54 +- 0.18', 'ROC_AUC': '99.95 +- 0.01', 'Log_Loss': '0.0391 +- 0.0044'}","{'Precision': ""84.96, {'0': 99.99, '1': 66.77, '2': 99.5, '3': 73.59}"", 'Recall': ""98.05, {'0': 97.6, '1': 99.76, '2': 98.46, '3': 96.37}"", 'F1': ""90.3, {'0': 98.78, '1': 80.0, '2': 98.97, '3': 83.45}"", 'ROC_AUC': '99.94', 'Log_Loss': '0.1141'}"
ROS,LGB,"{'Precision': '98.57 +- 0.17', 'Recall': '98.6 +- 0.17', 'F1': '98.58 +- 0.15', 'ROC_AUC': '99.95 +- 0.01', 'Log_Loss': '0.0383 +- 0.0031'}","{'Precision': ""87.05, {'0': 100.0, '1': 66.71, '2': 99.5, '3': 81.99}"", 'Recall': ""98.34, {'0': 97.71, '1': 99.76, '2': 98.91, '3': 96.98}"", 'F1': ""91.71, {'0': 98.84, '1': 79.96, '2': 99.2, '3': 88.86}"", 'ROC_AUC': '99.94', 'Log_Loss': '0.1098'}"
ROS,CATBOOST,"{'Precision': '97.96 +- 0.1', 'Recall': '97.96 +- 0.17', 'F1': '97.95 +- 0.11', 'ROC_AUC': '99.93 +- 0.01', 'Log_Loss': '0.054 +- 0.0031'}","{'Precision': ""80.74, {'0': 100.0, '1': 66.41, '2': 92.1, '3': 64.46}"", 'Recall': ""98.46, {'0': 97.1, '1': 99.76, '2': 99.7, '3': 97.28}"", 'F1': ""87.89, {'0': 98.53, '1': 79.74, '2': 95.75, '3': 77.54}"", 'ROC_AUC': '99.9', 'Log_Loss': '0.1295'}"
ROS,XGB_BORUTA,"{'Precision': '98.38 +- 0.2', 'Recall': '98.49 +- 0.25', 'F1': '98.43 +- 0.21', 'ROC_AUC': '99.94 +- 0.01', 'Log_Loss': '0.0417 +- 0.0038'}","{'Precision': ""85.53, {'0': 100.0, '1': 65.58, '2': 99.45, '3': 77.09}"", 'Recall': ""98.04, {'0': 97.54, '1': 99.73, '2': 98.81, '3': 96.07}"", 'F1': ""90.64, {'0': 98.75, '1': 79.12, '2': 99.13, '3': 85.54}"", 'ROC_AUC': '99.93', 'Log_Loss': '0.1302'}"
SMOTENC,RF,"{'Precision': '97.93 +- 0.11', 'Recall': '97.64 +- 0.2', 'F1': '97.78 +- 0.08', 'ROC_AUC': '99.88 +- 0.02', 'Log_Loss': '0.0725 +- 0.0083'}","{'Precision': ""79.06, {'0': 100.0, '1': 64.8, '2': 93.47, '3': 57.98}"", 'Recall': ""98.18, {'0': 96.86, '1': 99.73, '2': 99.0, '3': 97.13}"", 'F1': ""86.43, {'0': 98.4, '1': 78.56, '2': 96.16, '3': 72.61}"", 'ROC_AUC': '99.53', 'Log_Loss': '0.5274'}"
SMOTENC,XGB,"{'Precision': '98.06 +- 0.19', 'Recall': '97.97 +- 0.18', 'F1': '98.01 +- 0.14', 'ROC_AUC': '99.93 +- 0.01', 'Log_Loss': '0.0494 +- 0.0031'}","{'Precision': ""83.75, {'0': 100.0, '1': 65.15, '2': 98.76, '3': 71.08}"", 'Recall': ""98.31, {'0': 97.38, '1': 99.25, '2': 99.35, '3': 97.28}"", 'F1': ""89.63, {'0': 98.67, '1': 78.66, '2': 99.06, '3': 82.14}"", 'ROC_AUC': '99.87', 'Log_Loss': '0.1342'}"
SMOTENC,LGB,"{'Precision': '98.14 +- 0.11', 'Recall': '98.12 +- 0.2', 'F1': '98.13 +- 0.12', 'ROC_AUC': '99.93 +- 0.01', 'Log_Loss': '0.0468 +- 0.0037'}","{'Precision': ""84.82, {'0': 100.0, '1': 63.72, '2': 98.81, '3': 76.73}"", 'Recall': ""98.28, {'0': 97.33, '1': 99.28, '2': 99.4, '3': 97.13}"", 'F1': ""90.28, {'0': 98.64, '1': 77.62, '2': 99.11, '3': 85.73}"", 'ROC_AUC': '99.89', 'Log_Loss': '0.1259'}"
SMOTENC,CATBOOST,"{'Precision': '97.6 +- 0.14', 'Recall': '97.56 +- 0.28', 'F1': '97.57 +- 0.17', 'ROC_AUC': '99.91 +- 0.01', 'Log_Loss': '0.0598 +- 0.0024'}","{'Precision': ""77.76, {'0': 100.0, '1': 64.76, '2': 91.69, '3': 54.59}"", 'Recall': ""98.18, {'0': 96.68, '1': 99.73, '2': 99.35, '3': 96.98}"", 'F1': ""85.52, {'0': 98.31, '1': 78.53, '2': 95.37, '3': 69.86}"", 'ROC_AUC': '99.88', 'Log_Loss': '0.1359'}"
SMOTENC,XGB_BORUTA,"{'Precision': '98.03 +- 0.17', 'Recall': '97.92 +- 0.19', 'F1': '97.97 +- 0.15', 'ROC_AUC': '99.92 +- 0.01', 'Log_Loss': '0.0524 +- 0.0028'}","{'Precision': ""84.86, {'0': 100.0, '1': 64.62, '2': 98.8, '3': 76.01}"", 'Recall': ""97.94, {'0': 97.44, '1': 99.25, '2': 98.41, '3': 96.68}"", 'F1': ""90.17, {'0': 98.7, '1': 78.28, '2': 98.6, '3': 85.11}"", 'ROC_AUC': '99.87', 'Log_Loss': '0.1385'}"
CTGAN,RF,"{'Precision': '97.46 +- 0.15', 'Recall': '97.13 +- 0.3', 'F1': '97.29 +- 0.19', 'ROC_AUC': '99.87 +- 0.02', 'Log_Loss': '0.0697 +- 0.0071'}","{'Precision': ""82.7, {'0': 99.99, '1': 67.19, '2': 94.52, '3': 69.09}"", 'Recall': ""97.9, {'0': 97.39, '1': 99.76, '2': 99.6, '3': 94.86}"", 'F1': ""88.98, {'0': 98.68, '1': 80.3, '2': 97.0, '3': 79.95}"", 'ROC_AUC': '99.7', 'Log_Loss': '0.487'}"
CTGAN,XGB,"{'Precision': '97.93 +- 0.14', 'Recall': '97.74 +- 0.21', 'F1': '97.83 +- 0.16', 'ROC_AUC': '99.93 +- 0.01', 'Log_Loss': '0.0471 +- 0.0036'}","{'Precision': ""87.15, {'0': 99.99, '1': 67.5, '2': 99.45, '3': 81.67}"", 'Recall': ""98.16, {'0': 97.79, '1': 99.76, '2': 98.86, '3': 96.22}"", 'F1': ""91.72, {'0': 98.88, '1': 80.52, '2': 99.15, '3': 88.35}"", 'ROC_AUC': '99.94', 'Log_Loss': '0.103'}"
CTGAN,LGB,"{'Precision': '98.0 +- 0.13', 'Recall': '98.01 +- 0.2', 'F1': '98.0 +- 0.13', 'ROC_AUC': '99.94 +- 0.01', 'Log_Loss': '0.043 +- 0.0027'}","{'Precision': ""86.24, {'0': 100.0, '1': 67.28, '2': 99.4, '3': 78.27}"", 'Recall': ""98.3, {'0': 97.71, '1': 99.69, '2': 98.96, '3': 96.83}"", 'F1': ""91.23, {'0': 98.84, '1': 80.34, '2': 99.18, '3': 86.56}"", 'ROC_AUC': '99.94', 'Log_Loss': '0.1011'}"
CTGAN,CATBOOST,"{'Precision': '97.52 +- 0.1', 'Recall': '97.35 +- 0.26', 'F1': '97.43 +- 0.18', 'ROC_AUC': '99.91 +- 0.01', 'Log_Loss': '0.0573 +- 0.0026'}","{'Precision': ""79.57, {'0': 100.0, '1': 70.04, '2': 89.69, '3': 58.57}"", 'Recall': ""97.98, {'0': 97.24, '1': 99.73, '2': 99.95, '3': 95.02}"", 'F1': ""86.97, {'0': 98.6, '1': 82.29, '2': 94.54, '3': 72.47}"", 'ROC_AUC': '99.9', 'Log_Loss': '0.1152'}"
CTGAN,XGB_BORUTA,"{'Precision': '97.56 +- 0.1', 'Recall': '97.34 +- 0.15', 'F1': '97.45 +- 0.11', 'ROC_AUC': '99.91 +- 0.01', 'Log_Loss': '0.0553 +- 0.0031'}","{'Precision': ""83.86, {'0': 100.0, '1': 66.34, '2': 99.35, '3': 69.76}"", 'Recall': ""98.15, {'0': 97.48, '1': 99.59, '2': 99.0, '3': 96.53}"", 'F1': ""89.63, {'0': 98.72, '1': 79.63, '2': 99.18, '3': 80.99}"", 'ROC_AUC': '99.92', 'Log_Loss': '0.1301'}"
